capture_id,capture_date_local,capture_time_local,subject_id,subject_id,image_basename,image_rank_in_capture,subject_id,subject_id,question__species,kingdom,phylum,class,order,family,genus,species,common_name
KAR_S1#A02#1#23,2017-10-13,08:55:23,28794806,28794806,KAR_S1_A02_R1_IMAG0060.JPG,2,28794806,28794806,kudu,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus strepsiceros,greater kudu
KAR_S1#A02#1#23,2017-10-13,08:55:23,28794806,28794806,KAR_S1_A02_R1_IMAG0061.JPG,3,28794806,28794806,kudu,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus strepsiceros,greater kudu
KAR_S1#A02#1#24,2017-10-13,14:27:26,28794807,28794807,KAR_S1_A02_R1_IMAG0062.JPG,1,28794807,28794807,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#24,2017-10-13,14:27:26,28794807,28794807,KAR_S1_A02_R1_IMAG0063.JPG,2,28794807,28794807,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#24,2017-10-13,14:27:26,28794807,28794807,KAR_S1_A02_R1_IMAG0064.JPG,3,28794807,28794807,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#26,2017-10-14,07:17:47,28794809,28794809,KAR_S1_A02_R1_IMAG0066.JPG,1,28794809,28794809,kudu,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus strepsiceros,greater kudu
KAR_S1#A02#1#26,2017-10-14,07:17:47,28794809,28794809,KAR_S1_A02_R1_IMAG0067.JPG,2,28794809,28794809,kudu,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus strepsiceros,greater kudu
KAR_S1#A02#1#26,2017-10-14,07:17:47,28794809,28794809,KAR_S1_A02_R1_IMAG0068.JPG,3,28794809,28794809,kudu,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus strepsiceros,greater kudu
KAR_S1#A02#1#27,2017-10-14,15:13:19,28794810,28794810,KAR_S1_A02_R1_IMAG0069.JPG,1,28794810,28794810,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#27,2017-10-14,15:13:19,28794810,28794810,KAR_S1_A02_R1_IMAG0070.JPG,2,28794810,28794810,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#27,2017-10-14,15:13:19,28794810,28794810,KAR_S1_A02_R1_IMAG0071.JPG,3,28794810,28794810,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#30,2017-10-17,17:52:57,28794813,28794813,KAR_S1_A02_R1_IMAG0078.JPG,1,28794813,28794813,eland,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus oryx,eland
KAR_S1#A02#1#30,2017-10-17,17:52:57,28794813,28794813,KAR_S1_A02_R1_IMAG0079.JPG,2,28794813,28794813,eland,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus oryx,eland
KAR_S1#A02#1#30,2017-10-17,17:52:57,28794813,28794813,KAR_S1_A02_R1_IMAG0080.JPG,3,28794813,28794813,eland,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus oryx,eland
KAR_S1#A02#1#31,2017-10-18,06:43:39,28794814,28794814,KAR_S1_A02_R1_IMAG0081.JPG,1,28794814,28794814,kudu,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus strepsiceros,greater kudu
KAR_S1#A02#1#31,2017-10-18,06:43:39,28794814,28794814,KAR_S1_A02_R1_IMAG0082.JPG,2,28794814,28794814,kudu,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus strepsiceros,greater kudu
KAR_S1#A02#1#31,2017-10-18,06:43:39,28794814,28794814,KAR_S1_A02_R1_IMAG0083.JPG,3,28794814,28794814,kudu,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus strepsiceros,greater kudu
KAR_S1#A02#1#41,2017-10-24,10:04:12,28794824,28794824,KAR_S1_A02_R1_IMAG0101.JPG,1,28794824,28794824,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#41,2017-10-24,10:04:12,28794824,28794824,KAR_S1_A02_R1_IMAG0102.JPG,2,28794824,28794824,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#41,2017-10-24,10:04:12,28794824,28794824,KAR_S1_A02_R1_IMAG0103.JPG,3,28794824,28794824,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#42,2017-10-24,14:48:06,28794825,28794825,KAR_S1_A02_R1_IMAG0104.JPG,1,28794825,28794825,springbok,animalia,chordata,mammalia,artiodactyla,bovidae,antidorcas,antidorcas marsupialis,springbok
KAR_S1#A02#1#42,2017-10-24,14:48:06,28794825,28794825,KAR_S1_A02_R1_IMAG0105.JPG,2,28794825,28794825,springbok,animalia,chordata,mammalia,artiodactyla,bovidae,antidorcas,antidorcas marsupialis,springbok
KAR_S1#A02#1#42,2017-10-24,14:48:06,28794825,28794825,KAR_S1_A02_R1_IMAG0106.JPG,3,28794825,28794825,springbok,animalia,chordata,mammalia,artiodactyla,bovidae,antidorcas,antidorcas marsupialis,springbok
KAR_S1#A02#1#43,2017-10-25,14:00:00,28794826,28794826,KAR_S1_A02_R1_IMAG0107.JPG,1,28794826,28794826,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#43,2017-10-25,14:00:00,28794826,28794826,KAR_S1_A02_R1_IMAG0108.JPG,2,28794826,28794826,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#43,2017-10-25,14:00:00,28794826,28794826,KAR_S1_A02_R1_IMAG0109.JPG,3,28794826,28794826,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#53,2017-11-04,14:42:34,28794836,28794836,KAR_S1_A02_R1_IMAG0125.JPG,1,28794836,28794836,birdother,animalia,chordata,aves,,,,,bird
KAR_S1#A02#1#53,2017-11-04,14:42:34,28794836,28794836,KAR_S1_A02_R1_IMAG0126.JPG,2,28794836,28794836,birdother,animalia,chordata,aves,,,,,bird
KAR_S1#A02#1#53,2017-11-04,14:42:34,28794836,28794836,KAR_S1_A02_R1_IMAG0127.JPG,3,28794836,28794836,birdother,animalia,chordata,aves,,,,,bird
KAR_S1#A02#1#54,2017-11-08,17:42:59,28794837,28794837,KAR_S1_A02_R1_IMAG0128.JPG,1,28794837,28794837,birdother,animalia,chordata,aves,,,,,bird
KAR_S1#A02#1#54,2017-11-08,17:42:59,28794837,28794837,KAR_S1_A02_R1_IMAG0129.JPG,2,28794837,28794837,birdother,animalia,chordata,aves,,,,,bird
KAR_S1#A02#1#54,2017-11-08,17:42:59,28794837,28794837,KAR_S1_A02_R1_IMAG0130.JPG,3,28794837,28794837,birdother,animalia,chordata,aves,,,,,bird
KAR_S1#A02#1#56,2017-11-13,09:12:36,28794839,28794839,KAR_S1_A02_R1_IMAG0134.JPG,1,28794839,28794839,hartebeestred,animalia,chordata,mammalia,artiodactyla,bovidae,alcelaphus,alcelaphus buselaphus,red hartebeest
KAR_S1#A02#1#56,2017-11-13,09:12:36,28794839,28794839,KAR_S1_A02_R1_IMAG0135.JPG,2,28794839,28794839,hartebeestred,animalia,chordata,mammalia,artiodactyla,bovidae,alcelaphus,alcelaphus buselaphus,red hartebeest
KAR_S1#A02#1#56,2017-11-13,09:12:36,28794839,28794839,KAR_S1_A02_R1_IMAG0136.JPG,3,28794839,28794839,hartebeestred,animalia,chordata,mammalia,artiodactyla,bovidae,alcelaphus,alcelaphus buselaphus,red hartebeest
KAR_S1#A02#1#63,2017-11-28,13:04:11,28794846,28794846,KAR_S1_A02_R1_IMAG0153.JPG,1,28794846,28794846,birdother,animalia,chordata,aves,,,,,bird
KAR_S1#A02#1#63,2017-11-28,13:04:11,28794846,28794846,KAR_S1_A02_R1_IMAG0154.JPG,2,28794846,28794846,birdother,animalia,chordata,aves,,,,,bird
KAR_S1#A02#1#63,2017-11-28,13:04:11,28794846,28794846,KAR_S1_A02_R1_IMAG0155.JPG,3,28794846,28794846,birdother,animalia,chordata,aves,,,,,bird
KAR_S1#A02#1#68,2017-12-02,13:42:31,28794851,28794851,KAR_S1_A02_R1_IMAG0168.JPG,1,28794851,28794851,baboon,animalia,chordata,mammalia,primates,cercopithecidae,papio,,baboon
KAR_S1#A02#1#68,2017-12-02,13:42:31,28794851,28794851,KAR_S1_A02_R1_IMAG0169.JPG,2,28794851,28794851,baboon,animalia,chordata,mammalia,primates,cercopithecidae,papio,,baboon
KAR_S1#A02#1#68,2017-12-02,13:42:31,28794851,28794851,KAR_S1_A02_R1_IMAG0170.JPG,3,28794851,28794851,baboon,animalia,chordata,mammalia,primates,cercopithecidae,papio,,baboon
KAR_S1#A02#1#71,2017-12-02,14:41:48,28794854,28794854,KAR_S1_A02_R1_IMAG0177.JPG,1,28794854,28794854,kudu,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus strepsiceros,greater kudu
KAR_S1#A02#1#71,2017-12-02,14:41:48,28794854,28794854,KAR_S1_A02_R1_IMAG0178.JPG,2,28794854,28794854,kudu,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus strepsiceros,greater kudu
KAR_S1#A02#1#71,2017-12-02,14:41:48,28794854,28794854,KAR_S1_A02_R1_IMAG0179.JPG,3,28794854,28794854,kudu,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus strepsiceros,greater kudu
KAR_S1#A02#1#73,2017-12-03,11:59:29,28794856,28794856,KAR_S1_A02_R1_IMAG0181.JPG,1,28794856,28794856,eland,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus oryx,eland
KAR_S1#A02#1#73,2017-12-03,11:59:29,28794856,28794856,KAR_S1_A02_R1_IMAG0182.JPG,2,28794856,28794856,eland,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus oryx,eland
KAR_S1#A02#1#73,2017-12-03,11:59:29,28794856,28794856,KAR_S1_A02_R1_IMAG0183.JPG,3,28794856,28794856,eland,animalia,chordata,mammalia,artiodactyla,bovidae,tragelaphus,tragelaphus oryx,eland
KAR_S1#A02#1#74,2017-12-03,14:40:39,28794857,28794857,KAR_S1_A02_R1_IMAG0184.JPG,1,28794857,28794857,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#74,2017-12-03,14:40:39,28794857,28794857,KAR_S1_A02_R1_IMAG0185.JPG,2,28794857,28794857,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#74,2017-12-03,14:40:39,28794857,28794857,KAR_S1_A02_R1_IMAG0186.JPG,3,28794857,28794857,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#76,2017-12-06,14:42:00,28794859,28794859,KAR_S1_A02_R1_IMAG0188.JPG,1,28794859,28794859,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#76,2017-12-06,14:42:00,28794859,28794859,KAR_S1_A02_R1_IMAG0189.JPG,2,28794859,28794859,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#76,2017-12-06,14:42:00,28794859,28794859,KAR_S1_A02_R1_IMAG0190.JPG,3,28794859,28794859,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#77,2017-12-06,15:21:35,28794860,28794860,KAR_S1_A02_R1_IMAG0191.JPG,1,28794860,28794860,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#77,2017-12-06,15:21:35,28794860,28794860,KAR_S1_A02_R1_IMAG0192.JPG,2,28794860,28794860,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#77,2017-12-06,15:21:35,28794860,28794860,KAR_S1_A02_R1_IMAG0193.JPG,3,28794860,28794860,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#78,2017-12-06,15:24:35,28794861,28794861,KAR_S1_A02_R1_IMAG0194.JPG,1,28794861,28794861,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#78,2017-12-06,15:24:35,28794861,28794861,KAR_S1_A02_R1_IMAG0195.JPG,2,28794861,28794861,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#78,2017-12-06,15:24:35,28794861,28794861,KAR_S1_A02_R1_IMAG0196.JPG,3,28794861,28794861,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#79,2017-12-06,15:25:58,28794862,28794862,KAR_S1_A02_R1_IMAG0197.JPG,1,28794862,28794862,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#79,2017-12-06,15:25:58,28794862,28794862,KAR_S1_A02_R1_IMAG0198.JPG,2,28794862,28794862,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#79,2017-12-06,15:25:58,28794862,28794862,KAR_S1_A02_R1_IMAG0199.JPG,3,28794862,28794862,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#80,2017-12-06,15:27:01,28794863,28794863,KAR_S1_A02_R1_IMAG0200.JPG,1,28794863,28794863,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#80,2017-12-06,15:27:01,28794863,28794863,KAR_S1_A02_R1_IMAG0201.JPG,2,28794863,28794863,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#80,2017-12-06,15:27:01,28794863,28794863,KAR_S1_A02_R1_IMAG0202.JPG,3,28794863,28794863,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#81,2017-12-06,15:28:00,28794864,28794864,KAR_S1_A02_R1_IMAG0203.JPG,1,28794864,28794864,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#81,2017-12-06,15:28:00,28794864,28794864,KAR_S1_A02_R1_IMAG0204.JPG,2,28794864,28794864,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#81,2017-12-06,15:28:00,28794864,28794864,KAR_S1_A02_R1_IMAG0205.JPG,3,28794864,28794864,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#82,2017-12-06,15:29:01,28794865,28794865,KAR_S1_A02_R1_IMAG0206.JPG,1,28794865,28794865,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#82,2017-12-06,15:29:01,28794865,28794865,KAR_S1_A02_R1_IMAG0207.JPG,2,28794865,28794865,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#82,2017-12-06,15:29:01,28794865,28794865,KAR_S1_A02_R1_IMAG0208.JPG,3,28794865,28794865,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#83,2017-12-06,15:30:01,28794866,28794866,KAR_S1_A02_R1_IMAG0209.JPG,1,28794866,28794866,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#83,2017-12-06,15:30:01,28794866,28794866,KAR_S1_A02_R1_IMAG0210.JPG,2,28794866,28794866,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#83,2017-12-06,15:30:01,28794866,28794866,KAR_S1_A02_R1_IMAG0211.JPG,3,28794866,28794866,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#84,2017-12-06,15:31:07,28794867,28794867,KAR_S1_A02_R1_IMAG0212.JPG,1,28794867,28794867,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#84,2017-12-06,15:31:07,28794867,28794867,KAR_S1_A02_R1_IMAG0213.JPG,2,28794867,28794867,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#84,2017-12-06,15:31:07,28794867,28794867,KAR_S1_A02_R1_IMAG0214.JPG,3,28794867,28794867,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#85,2017-12-06,15:32:08,28794868,28794868,KAR_S1_A02_R1_IMAG0215.JPG,1,28794868,28794868,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#85,2017-12-06,15:32:08,28794868,28794868,KAR_S1_A02_R1_IMAG0216.JPG,2,28794868,28794868,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#85,2017-12-06,15:32:08,28794868,28794868,KAR_S1_A02_R1_IMAG0217.JPG,3,28794868,28794868,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#86,2017-12-06,15:33:12,28794869,28794869,KAR_S1_A02_R1_IMAG0218.JPG,1,28794869,28794869,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#86,2017-12-06,15:33:12,28794869,28794869,KAR_S1_A02_R1_IMAG0219.JPG,2,28794869,28794869,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#86,2017-12-06,15:33:12,28794869,28794869,KAR_S1_A02_R1_IMAG0220.JPG,3,28794869,28794869,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#87,2017-12-06,15:34:59,28794870,28794870,KAR_S1_A02_R1_IMAG0221.JPG,1,28794870,28794870,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#87,2017-12-06,15:34:59,28794870,28794870,KAR_S1_A02_R1_IMAG0222.JPG,2,28794870,28794870,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#87,2017-12-06,15:34:59,28794870,28794870,KAR_S1_A02_R1_IMAG0223.JPG,3,28794870,28794870,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#88,2017-12-06,15:37:12,28794871,28794871,KAR_S1_A02_R1_IMAG0224.JPG,1,28794871,28794871,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#88,2017-12-06,15:37:12,28794871,28794871,KAR_S1_A02_R1_IMAG0225.JPG,2,28794871,28794871,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#88,2017-12-06,15:37:12,28794871,28794871,KAR_S1_A02_R1_IMAG0226.JPG,3,28794871,28794871,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#89,2017-12-06,15:38:15,28794872,28794872,KAR_S1_A02_R1_IMAG0227.JPG,1,28794872,28794872,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#89,2017-12-06,15:38:15,28794872,28794872,KAR_S1_A02_R1_IMAG0228.JPG,2,28794872,28794872,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
KAR_S1#A02#1#89,2017-12-06,15:38:15,28794872,28794872,KAR_S1_A02_R1_IMAG0229.JPG,3,28794872,28794872,gemsbokoryx,animalia,chordata,mammalia,artiodactyla,bovidae,oryx,oryx gazella,gemsbok
